"","artist","song","viewcount","year"
"783","Isaiah Rashad","Stuck in the Mud (Ft. SZA)             ",106600,2014
"784","Isaiah Rashad","A Lot             ",49100,2014
"785","Isaiah Rashad","AA             ",99700,2014
"786","Isaiah Rashad","Dressed Like Rappers             ",74600,2014
"787","Isaiah Rashad","Don't Matter (Ft. Lance Skiiiwalker)             ",28900,2014
"788","Isaiah Rashad","Brenda             ",48600,2014
"789","Isaiah Rashad","By George (Outro)             ",30200,2014
"790","Isaiah Rashad","Find a Topic (Homies Begged)             ",59400,2014
"791","Isaiah Rashad","The Sun's Tirade [Credits]             ",5800,2014
"792","Isaiah Rashad","The Sun's Tirade [Tracklist + Album Art]             ",39700,2014
"793","Isaiah Rashad","Hereditary             ",63100,2014
"794","Isaiah Rashad","Webbie Flow (U Like)             ",91800,2014
"795","Isaiah Rashad","Cilvia Demo             ",89100,2014
"796","Isaiah Rashad","R.I.P. Kevin Miller             ",158600,2014
"797","Isaiah Rashad","Ronnie Drake (Ft. SZA)             ",158300,2014
"798","Isaiah Rashad","West Savannah (Ft. Ab-Soul & SZA)             ",173900,2014
"799","Isaiah Rashad","Soliloquy             ",103800,2014
"800","Isaiah Rashad","Tranquility             ",86500,2014
"801","Isaiah Rashad","Menthol (Ft. Jean Deaux)             ",118000,2014
"802","Isaiah Rashad","Modest             ",139300,2014
"803","Isaiah Rashad","Heavenly Father             ",331200,2014
"804","Isaiah Rashad","Banana             ",89600,2014
"805","Isaiah Rashad","Brad Jordan (Ft. Michael da Vinci)             ",83300,2014
"806","Isaiah Rashad","Shot You Down (Remix) (Ft. Jay Rock & ScHoolboy Q)             ",303300,2014
"807","Isaiah Rashad","Cilvia Album Art / Tracklist             ",12600,2014
"808","Isaiah Rashad","Shot U Down             ",186200,2014
"809","Isaiah Rashad","GIL / Sounds from Friday Morning             ",32800,2014
"810","Isaiah Rashad","Hii (Fuck Love) (Ft. Michael da Vinci)             ",59500,2014
"811","Isaiah Rashad","Part III             ",53700,2014
"812","Isaiah Rashad","2x Pills             ",35000,2014
"813","Isaiah Rashad","Food for Thought (Ft. Amazn & YGTUT)             ",26000,2014
"814","Isaiah Rashad","Part II             ",21700,2014
"815","Isaiah Rashad","Khaki             ",20800,2014
"816","Isaiah Rashad","Hurt Cobaine             ",36700,2014
